,A,actions,delta_shares,quantity,delta_vt,total_reward,total_profit,portfolio_value,nav,cash
0,50.0,3,-200,-200,-84.97826551961282,-85.33933080014891,-84.97826551961043,49915.02173448039,-10024.978265519612,59940.0
1,50.124891327598064,3,-200,-400,-71.3480919667154,-156.94195027822886,-156.3263574863231,49843.67364251368,-20061.30462300594,69904.97826551962
2,50.15326155751485,3,-200,-600,-101.67732165612392,-259.13618582131096,-258.00367914245,49741.99632085755,-30133.634256165034,79875.63057702259
3,50.22272376027506,3,-200,-800,-187.5239641379585,-448.41841181557015,-445.5276432804094,49554.47235671959,-40305.702972358005,89860.1753290776
4,50.38212871544751,3,-200,-1000,-193.2289054018574,-643.5141877115675,-638.7565486822568,49361.24345131774,-50515.35762084936,99876.6010721671
5,50.515357620849365,4,0,-1000,69.7813988663043,-573.9762610266501,-568.975149815953,49431.02485018405,-50445.57622198306,99876.6010721671
6,50.44557622198306,4,0,-1000,-67.812274665485,-642.0184609219006,-636.7874244814375,49363.21257551856,-50513.38849664854,99876.6010721671
7,50.513388496648545,4,0,-1000,10.825459101127421,-631.1988613490106,-625.9619653803165,49374.03803461968,-50502.56303754742,99876.6010721671
8,50.50256303754742,4,0,-1000,7.385397233548474,-623.816191320077,-618.5765681467674,49381.42343185323,-50495.17764031387,99876.6010721671
9,50.49517764031387,4,0,-1000,-29.315538429152355,-653.1746997888989,-647.8921065759205,49352.10789342408,-50524.493178743025,99876.6010721671
10,50.52449317874302,4,0,-1000,-10.27854710093834,-663.4585293163626,-658.1706536768543,49341.829346323146,-50534.77172584396,99876.6010721671
11,50.53477172584396,4,0,-1000,-104.02307549612999,-768.0226448242763,-762.1937291729846,49237.806270827015,-50638.79480134009,99876.6010721671
12,50.63879480134009,4,0,-1000,-54.511749536359844,-822.6829709025119,-816.7054787093439,49183.294521290656,-50693.30655087645,99876.6010721671
13,50.69330655087645,4,0,-1000,-8.704294619917619,-831.3910537596711,-825.4097733292656,49174.590226670734,-50702.01084549637,99876.6010721671
14,50.70201084549637,4,0,-1000,-31.81647234026741,-863.2581404955474,-857.2262456695316,49142.77375433047,-50733.827317836636,99876.6010721671
15,50.733827317836635,4,0,-1000,-23.925434855804895,-887.2121966730043,-881.1516805253341,49118.848319474666,-50757.75275269244,99876.6010721671
16,50.75775275269244,4,0,-1000,-107.3391185666992,-995.1273995584373,-988.4907990920328,49011.50920090797,-50865.09187125914,99876.6010721671
17,50.86509187125914,4,0,-1000,14.77971479532414,-980.3586067615847,-973.7110842967086,49026.28891570329,-50850.31215646381,99876.6010721671
18,50.850312156463815,4,0,-1000,-22.49458780000424,-1002.8784948856036,-996.2056720967157,49003.794327903284,-50872.80674426382,99876.6010721671
19,50.87280674426382,4,0,-1000,61.4343622663327,-941.6328416626244,-934.7713098303793,49065.22869016962,-50811.372381997484,99876.6010721671
20,50.81137238199749,4,0,-1000,183.14236258670746,-760.1675353246089,-751.6289472436765,49248.37105275632,-50628.23001941078,99876.6010721671
21,50.62823001941078,4,0,-1000,-46.801965873768836,-807.0790223988603,-798.430913117445,49201.569086882555,-50675.03198528455,99876.6010721671
22,50.67503198528455,4,0,-1000,-61.96825273836026,-869.2392783545928,-860.3991658558007,49139.6008341442,-50737.000238022905,99876.6010721671
23,50.73700023802291,4,0,-1000,53.24442035497867,-816.136606414561,-807.1547455008258,49192.845254499174,-50683.75581766793,99876.6010721671
24,50.68375581766793,4,0,-1000,-162.9306695828987,-980.3945961519963,-970.0854150837258,49029.914584916274,-50846.68648725083,99876.6010721671
25,50.84668648725083,4,0,-1000,104.49533485515161,-876.4452250471693,-865.5900802285687,49134.40991977143,-50742.19115239567,99876.6010721671
26,50.74219115239568,4,0,-1000,-3.2629744859633547,-879.7087318832574,-868.8530547145347,49131.146945285465,-50745.45412688164,99876.6010721671
27,50.74545412688164,4,0,-1000,13.452083910351575,-866.2656959009825,-855.4009708041849,49144.599029195815,-50732.00204297129,99876.6010721671
28,50.73200204297129,4,0,-1000,-110.0678631777896,-976.9393058039983,-965.4688339819768,49034.53116601802,-50842.06990614908,99876.6010721671
29,50.84206990614908,4,0,-1000,-105.73395137837593,-1083.2322406060784,-1071.2027853603504,48928.79721463965,-50947.803857527455,99876.6010721671
30,50.947803857527454,4,0,-1000,-11.138665446587481,-1094.3771095460625,-1082.34145080694,48917.65854919306,-50958.942522974045,99876.6010721671
31,50.95894252297404,4,0,-1000,-27.233029039472,-1121.6472204790678,-1109.5744798464075,48890.42552015359,-50986.17555201351,99876.6010721671
32,50.98617555201351,4,0,-1000,64.00061454940698,-1057.851409862796,-1045.573865297003,48954.426134703,-50922.17493746411,99876.6010721671
33,50.922174937464106,4,0,-1000,142.47087022911842,-916.3954370768696,-903.1029950678858,49096.897004932114,-50779.70406723499,99876.6010721671
34,50.77970406723499,4,0,-1000,25.000018572271188,-891.4266685510291,-878.1029764956111,49121.89702350439,-50754.704048662716,99876.6010721671
35,50.75470404866272,4,0,-1000,-11.202413714379134,-902.6353569690597,-889.3053902099928,49110.69460979001,-50765.9064623771,99876.6010721671
36,50.765906462377096,4,0,-1000,-88.38150801717859,-991.4074295342078,-977.6868982271699,49022.31310177283,-50854.287970394274,99876.6010721671
37,50.854287970394275,4,0,-1000,-86.52217882565338,-1078.3039127312982,-1064.209077052823,48935.79092294718,-50940.81014921993,99876.6010721671
38,50.94081014921993,4,0,-1000,27.921769181936895,-1050.4211248090737,-1036.2873078708872,48963.71269212911,-50912.88838003799,99876.6010721671
39,50.91288838003799,4,0,-1000,21.78688642812432,-1028.657971801961,-1014.5004214427609,48985.49957855724,-50891.101493609865,99876.6010721671
40,50.89110149360987,4,0,-1000,75.43320414501409,-953.509276071326,-939.0672172977502,49060.93278270225,-50815.668289464855,99876.6010721671
41,50.81566828946485,4,0,-1000,101.96740532889237,-852.061738329909,-837.0998119688593,49162.90018803114,-50713.700884135964,99876.6010721671
42,50.71370088413596,4,0,-1000,122.24436503340996,-730.5645575356201,-714.8554469354422,49285.14455306456,-50591.45651910255,99876.6010721671
43,50.59145651910255,4,0,-1000,-139.7465923938057,-871.2876054337098,-854.6020393292492,49145.39796067075,-50731.203111496354,99876.6010721671
44,50.731203111496356,4,0,-1000,36.57159637958074,-834.7828831372166,-818.0304429496682,49181.96955705033,-50694.63151511677,99876.6010721671
45,50.694631515116775,4,0,-1000,31.416094714543874,-803.4161369730284,-786.6143482351254,49213.385651764875,-50663.21542040223,99876.6010721671
46,50.66321542040223,4,0,-1000,89.6988073121534,-714.1196234625362,-696.9155409229716,49303.08445907703,-50573.516613090076,99876.6010721671
47,50.57351661309008,4,0,-1000,-55.621274518898645,-769.8955842903902,-752.5368154418684,49247.46318455813,-50629.13788760897,99876.6010721671
48,50.62913788760898,4,0,-1000,115.43989557545586,-655.1220071894579,-637.096919866417,49362.90308013358,-50513.69799203352,99876.6010721671
49,50.51369799203352,4,0,-1000,15.20937533518918,-639.9241981091731,-621.8875445312297,49378.11245546877,-50498.488616698334,99876.6010721671
50,50.49848861669833,4,0,-1000,63.922835144168744,-576.2056694076477,-557.964709387059,49442.03529061294,-50434.56578155416,99876.6010721671
51,50.43456578155416,4,0,-1000,-27.590977158141072,-603.8347096668159,-585.5556865452018,49414.4443134548,-50462.156758712306,99876.6010721671
52,50.462156758712304,4,0,-1000,36.45242873280807,-567.4487199120339,-549.1032578123923,49450.89674218761,-50425.7043299795,99876.6010721671
53,50.425704329979496,4,0,-1000,84.13450549053181,-483.6681451722089,-464.96875232185994,49535.03124767814,-50341.569824488965,99876.6010721671
